allocate check=1
323 PID allocated
314 PID allocated
316 PID allocated
322 PID allocated
319 PID allocated
303 PID allocated
315 PID allocated
329 PID allocated
310 PID allocated
306 PID allocated
308 PID allocated
320 PID allocated
330 PID allocated
326 PID allocated
309 PID allocated
325 PID allocated
302 PID allocated
317 PID allocated
312 PID allocated
313 PID allocated
305 PID allocated
301 PID allocated
300 PID allocated
318 PID allocated
304 PID allocated
321 PID allocated
328 PID allocated
327 PID allocated
324 PID allocated
307 PID allocated
311 PID allocated
331 PID allocated
333 PID allocated
334 PID allocated
335 PID allocated
332 test in main while threads are running
338 PID allocated
337 PID allocated
336 PID allocated
339 PID allocated
340 PID allocated
341 PID allocated
342 PID allocated
343 PID allocated
344 PID allocated
345 PID allocated
346 PID allocated
347 PID allocated
347 PID RELEASED
347 PID allocated
351 PID allocated
349 PID allocated
352 PID allocated
348 PID allocated
355 PID allocated
350 PID allocated
349 PID RELEASED
389 PID allocated
372 PID allocated
333 PID RELEASED
387 PID allocated
370 PID allocated
388 PID allocated
371 PID allocated
386 PID allocated
385 PID allocated
349 PID allocated
384 PID allocated
369 PID allocated
319 PID RELEASED
368 PID allocated
367 PID allocated
382 PID allocated
323 PID allocated
366 PID allocated
323 PID RELEASED
315 PID allocated
364 PID allocated
365 PID allocated
363 PID allocated
315 PID RELEASED
381 PID allocated
362 PID allocated
380 PID allocated
361 PID allocated
360 PID allocated
379 PID allocated
378 PID allocated
359 PID allocated
377 PID allocated
358 PID allocated
357 PID allocated
356 PID allocated
354 PID allocated
353 PID allocated
319 PID allocated
341 PID RELEASED
348 PID RELEASED
301 PID RELEASED
375 PID allocated
390 PID allocated
376 PID allocated
391 PID allocated
392 PID allocated
374 PID allocated
333 PID allocated
373 PID allocated
303 PID allocated
383 PID allocated
300 PID RELEASED
303 PID RELEASED
300 PID allocated
303 PID RELEASED
300 PID RELEASED
352 PID RELEASED
310 PID RELEASED
340 PID RELEASED
311 PID RELEASED
323 PID RELEASED
387 PID RELEASED
380 PID RELEASED
383 PID RELEASED
373 PID RELEASED
331 PID RELEASED
346 PID RELEASED
329 PID RELEASED
324 PID RELEASED
347 PID RELEASED
337 PID RELEASED
385 PID RELEASED
372 PID RELEASED
302 PID RELEASED
391 PID RELEASED
362 PID RELEASED
326 PID RELEASED
328 PID RELEASED
377 PID RELEASED
307 PID RELEASED
314 PID RELEASED
386 PID RELEASED
316 PID RELEASED
358 PID RELEASED
334 PID RELEASED
322 PID RELEASED
378 PID RELEASED
351 PID RELEASED
343 PID RELEASED
317 PID RELEASED
335 PID RELEASED
376 PID RELEASED
390 PID RELEASED
312 PID RELEASED
388 PID RELEASED
365 PID RELEASED
354 PID RELEASED
382 PID RELEASED
309 PID RELEASED
367 PID RELEASED
361 PID RELEASED
356 PID RELEASED
381 PID RELEASED
368 PID RELEASED
360 PID RELEASED
375 PID RELEASED
321 PID RELEASED
364 PID RELEASED
389 PID RELEASED
379 PID RELEASED
304 PID RELEASED
306 PID RELEASED
318 PID RELEASED
313 PID RELEASED
370 PID RELEASED
359 PID RELEASED
339 PID RELEASED
350 PID RELEASED
357 PID RELEASED
330 PID RELEASED
315 PID RELEASED
305 PID RELEASED
333 PID RELEASED
325 PID RELEASED
344 PID RELEASED
338 PID RELEASED
308 PID RELEASED
355 PID RELEASED
342 PID RELEASED
353 PID RELEASED
320 PID RELEASED
369 PID RELEASED
392 PID RELEASED
327 PID RELEASED
363 PID RELEASED
336 PID RELEASED
345 PID RELEASED
384 PID RELEASED
319 PID RELEASED
366 PID RELEASED
371 PID RELEASED
349 PID RELEASED
374 PID RELEASED
332 ID from main still allocated = true
300 test all PIDs free after threads ran
